file_id,clean_file,noise_file,noise_category,snr_db,sample_rate,channels,output_file,impulsive_event_start_sec,impulsive_event_duration_sec
1,common_voice_en_19451218.wav,1-22882-A-44.wav,stationary,0,16000,1,common_voice_en_19451218_stationary_1-22882-A-44_SNR_0dB_0001.wav,,
2,common_voice_en_19951090.wav,1-18527-A-44.wav,stationary,20,16000,1,common_voice_en_19951090_stationary_1-18527-A-44_SNR_20dB_0002.wav,,
3,common_voice_en_27688640.wav,1-50454-A-44.wav,stationary,-5,16000,1,common_voice_en_27688640_stationary_1-50454-A-44_SNR_-5dB_0003.wav,,
4,common_voice_en_18561931.wav,1-18527-B-44.wav,stationary,15,16000,1,common_voice_en_18561931_stationary_1-18527-B-44_SNR_15dB_0004.wav,,
5,common_voice_en_18561930.wav,helicopter.wav,non_stationary,0,16000,1,common_voice_en_18561930_non_stationary_helicopter_SNR_0dB_0005.wav,,
6,common_voice_en_24033983.wav,helicopter.wav,non_stationary,0,16000,1,common_voice_en_24033983_non_stationary_helicopter_SNR_0dB_0006.wav,,
7,common_voice_en_23731524.wav,1-18527-B-44.wav,stationary,0,16000,1,common_voice_en_23731524_stationary_1-18527-B-44_SNR_0dB_0007.wav,,
8,common_voice_en_21663195.wav,1-50454-A-44.wav,stationary,-5,16000,1,common_voice_en_21663195_stationary_1-50454-A-44_SNR_-5dB_0008.wav,,
9,common_voice_en_21817015.wav,1-160563-A-48.wav,impulsive,5,16000,1,common_voice_en_21817015_impulsive_1-160563-A-48_SNR_5dB_0009.wav,2.045125,0.1444375
10,common_voice_en_22939424.wav,1-22882-A-44.wav,stationary,20,16000,1,common_voice_en_22939424_stationary_1-22882-A-44_SNR_20dB_0010.wav,,
11,common_voice_en_580650.wav,1-115545-C-48.wav,impulsive,15,16000,1,common_voice_en_580650_impulsive_1-115545-C-48_SNR_15dB_0011.wav,0.375375,0.296875
12,common_voice_en_19951091.wav,1-115545-A-48.wav,impulsive,0,16000,1,common_voice_en_19951091_impulsive_1-115545-A-48_SNR_0dB_0012.wav,1.1385625,0.203375
13,common_voice_en_25113639.wav,helicopter.wav,non_stationary,0,16000,1,common_voice_en_25113639_non_stationary_helicopter_SNR_0dB_0013.wav,,
14,common_voice_en_21817014.wav,1-22882-A-44.wav,stationary,20,16000,1,common_voice_en_21817014_stationary_1-22882-A-44_SNR_20dB_0014.wav,,
15,common_voice_en_18843978.wav,helicopter.wav,non_stationary,15,16000,1,common_voice_en_18843978_non_stationary_helicopter_SNR_15dB_0015.wav,,
16,common_voice_en_19952222.wav,1-50454-A-44.wav,stationary,5,16000,1,common_voice_en_19952222_stationary_1-50454-A-44_SNR_5dB_0016.wav,,
17,common_voice_en_27703528.wav,1-22882-A-44.wav,stationary,-5,16000,1,common_voice_en_27703528_stationary_1-22882-A-44_SNR_-5dB_0017.wav,,
18,common_voice_en_18681417.wav,1-115546-A-48.wav,impulsive,5,16000,1,common_voice_en_18681417_impulsive_1-115546-A-48_SNR_5dB_0018.wav,4.6463125,0.16775
19,common_voice_en_21538040.wav,1-50454-A-44.wav,stationary,10,16000,1,common_voice_en_21538040_stationary_1-50454-A-44_SNR_10dB_0019.wav,,
20,common_voice_en_25113640.wav,1-18527-B-44.wav,stationary,0,16000,1,common_voice_en_25113640_stationary_1-18527-B-44_SNR_0dB_0020.wav,,
21,common_voice_en_27688637.wav,1-50455-A-44.wav,stationary,10,16000,1,common_voice_en_27688637_stationary_1-50455-A-44_SNR_10dB_0021.wav,,
22,common_voice_en_30619674.wav,helicopter.wav,non_stationary,0,16000,1,common_voice_en_30619674_non_stationary_helicopter_SNR_0dB_0022.wav,,
23,common_voice_en_26724562.wav,helicopter.wav,non_stationary,-5,16000,1,common_voice_en_26724562_non_stationary_helicopter_SNR_-5dB_0023.wav,,
24,common_voice_en_19705427.wav,helicopter.wav,non_stationary,15,16000,1,common_voice_en_19705427_non_stationary_helicopter_SNR_15dB_0024.wav,,
25,common_voice_en_18843976.wav,helicopter.wav,non_stationary,15,16000,1,common_voice_en_18843976_non_stationary_helicopter_SNR_15dB_0025.wav,,
26,common_voice_en_20242986.wav,1-115545-A-48.wav,impulsive,20,16000,1,common_voice_en_20242986_impulsive_1-115545-A-48_SNR_20dB_0026.wav,4.371625,0.21725
27,common_voice_en_21663202.wav,1-50454-A-44.wav,stationary,0,16000,1,common_voice_en_21663202_stationary_1-50454-A-44_SNR_0dB_0027.wav,,
28,common_voice_en_18522885.wav,1-115545-C-48.wav,impulsive,15,16000,1,common_voice_en_18522885_impulsive_1-115545-C-48_SNR_15dB_0028.wav,0.8716875,0.2829375
29,common_voice_en_21369211.wav,1-160563-A-48.wav,impulsive,15,16000,1,common_voice_en_21369211_impulsive_1-160563-A-48_SNR_15dB_0029.wav,3.0630625,0.303625
30,common_voice_en_19726068.wav,helicopter.wav,non_stationary,15,16000,1,common_voice_en_19726068_non_stationary_helicopter_SNR_15dB_0030.wav,,
31,common_voice_en_21538044.wav,helicopter.wav,non_stationary,5,16000,1,common_voice_en_21538044_non_stationary_helicopter_SNR_5dB_0031.wav,,
32,common_voice_en_21369214.wav,1-18527-B-44.wav,stationary,15,16000,1,common_voice_en_21369214_stationary_1-18527-B-44_SNR_15dB_0032.wav,,
33,common_voice_en_19227417.wav,1-115545-A-48.wav,impulsive,15,16000,1,common_voice_en_19227417_impulsive_1-115545-A-48_SNR_15dB_0033.wav,5.404625,0.22875
34,common_voice_en_25234746.wav,1-115545-B-48.wav,impulsive,5,16000,1,common_voice_en_25234746_impulsive_1-115545-B-48_SNR_5dB_0034.wav,1.735,0.6403125
35,common_voice_en_27688638.wav,1-115545-B-48.wav,impulsive,20,16000,1,common_voice_en_27688638_impulsive_1-115545-B-48_SNR_20dB_0035.wav,5.5024375,0.4191875
36,common_voice_en_22779359.wav,helicopter.wav,non_stationary,-5,16000,1,common_voice_en_22779359_non_stationary_helicopter_SNR_-5dB_0036.wav,,
37,common_voice_en_19952223.wav,1-22882-A-44.wav,stationary,-5,16000,1,common_voice_en_19952223_stationary_1-22882-A-44_SNR_-5dB_0037.wav,,
38,common_voice_en_30619683.wav,helicopter.wav,non_stationary,-5,16000,1,common_voice_en_30619683_non_stationary_helicopter_SNR_-5dB_0038.wav,,
39,common_voice_en_18725368.wav,1-18527-A-44.wav,stationary,5,16000,1,common_voice_en_18725368_stationary_1-18527-A-44_SNR_5dB_0039.wav,,
